Time_ms,T_C,P_Pa,Alt_m,AccX_mss,AccY_mss,AccZ_mss,GyroX_rads,GyroY_rads,GyroZ_rads,MagX_raw,MagY_raw,MagZ_raw,PYRO
2650,25.81052,101515.36719,-1.24107,-6.96738,-5.83967,-5.86840,3.00201,-0.71162,0.58591,66,-72,-82
2680,25.81587,101519.65625,-1.61014,-6.46458,-7.29060,-4.05832,4.02469,-0.00852,0.85224,45,-76,-64
2709,25.81712,101516.43750,-1.33317,-6.66570,-8.30339,-2.75104,5.60559,0.44956,0.40268,43,-82,-37
2739,25.81771,101519.75781,-1.61888,-7.18286,-7.57792,-2.60020,5.88470,0.18962,0.32385,24,-83,-12
2768,25.82048,101518.34375,-1.49720,-6.96019,-7.76467,-0.65364,5.44793,0.25141,0.44956,-244,-85,15
2798,25.81870,101517.01562,-1.38292,-7.08230,-8.05199,0.68955,5.80374,0.23863,0.58165,-16,-84,39
2827,25.81883,101515.41406,-1.24510,-7.48454,-8.29621,2.07585,5.21143,-0.11931,0.66048,-51,-95,61
2857,25.82193,101518.04688,-1.47166,-6.80935,-9.96263,2.70794,5.12408,-0.52413,0.46447,-84,-83,59
2886,25.82352,101515.59375,-1.26057,-6.76626,-9.91235,3.60580,4.70648,-0.71588,-0.23863,-114,-77,62
2916,25.82253,101519.10938,-1.56308,-6.83090,-9.06477,3.74227,5.26470,-0.87141,-0.84158,-141,-79,66
2945,25.82411,101518.83594,-1.53955,-6.45021,-6.59387,1.98247,4.34641,-0.82241,-1.27836,-164,-74,68
2975,25.82483,101516.35156,-1.32578,-5.97614,-6.00487,1.52277,1.26344,-0.34729,-1.18674,-188,-73,63
3004,25.82372,101517.03906,-1.38493,-5.33687,-8.08790,2.49964,-2.01128,0.11931,-1.94736,-194,-71,73
3034,25.82405,101519.60156,-1.60543,-6.77344,-8.21719,4.76224,-1.74709,0.54543,-2.48853,-183,-83,73
3064,25.82405,101516.49219,-1.33788,-6.34247,-7.48454,1.24982,-1.94523,1.01416,-2.70798,-149,-76,56
3093,25.82695,101519.31250,-1.58056,-6.31374,-7.09667,0.02873,-3.97143,1.55107,-2.37348,-135,-79,49
3123,25.82668,101517.30469,-1.40779,-6.64415,-8.77027,1.19236,-5.98271,2.12846,-1.36358,-99,-88,35
3152,25.82741,101518.86719,-1.54224,-5.64573,-11.75116,2.56428,-5.61198,2.37774,-0.67753,-65,-87,7
3182,25.82464,101513.50781,-1.08107,-5.85403,-12.29706,2.03275,-5.27109,1.60860,-1.31884,-33,-91,-28
3211,25.82569,101520.82031,-1.71030,-5.09983,-10.38642,-0.19394,-5.30092,0.58591,-1.38489,253,-85,-55
3241,25.82800,101519.77344,-1.62022,-5.03519,-8.88520,0.39506,-5.16243,-0.34303,-1.11430,12,-85,-70
3270,25.82767,101518.07031,-1.47367,-4.47492,-7.74312,-1.82445,-4.80875,-1.44028,-0.51134,33,-71,-103
3300,25.82886,101517.47656,-1.42258,-4.09423,-6.85245,-4.56830,-5.39253,-2.10929,-0.30681,48,-67,-121
3329,25.82754,101517.57812,-1.43132,-4.01522,-6.47894,-6.93146,-6.28738,-2.48001,0.05113,46,-66,-152
3359,25.83031,101516.86719,-1.37014,-4.20197,-6.21318,-7.47018,-6.80086,-2.28613,0.03622,50,-72,-183
3388,25.82833,101518.29688,-1.49317,-4.54675,-5.03519,-7.36243,-5.53315,-1.94949,-0.11718,41,-70,-205
3418,25.82859,101517.03125,-1.38426,-4.91308,-3.72791,-8.42550,-4.64043,-1.40406,-0.55395,28,-73,-217
3448,25.82939,101513.39844,-1.07166,-5.30813,-2.52118,-7.60665,-4.88332,-1.03547,-0.45595,17,-84,-224
3477,25.82985,101513.34375,-1.06695,-5.82530,-1.52277,-6.42866,-4.71927,-1.14413,-0.70949,-250,-78,-252
3507,25.83156,101513.64062,-1.09250,-6.23472,-0.24422,-7.26906,-4.95576,-1.21018,-0.87994,-14,-79,-268
3536,25.83031,101512.58594,-1.00174,-6.60823,0.70392,-7.10385,-5.95075,-1.19526,-0.76275,-32,-83,-277
3566,25.83137,101511.42188,-0.90157,-7.05357,0.51717,-4.66886,-5.89322,-1.21018,-0.72227,-57,-81,-291
3595,25.83183,101507.32812,-0.54929,-6.60823,1.07025,-6.06952,-4.70861,-0.77127,-0.88420,-83,-91,-293
3625,25.83150,101513.93750,-1.11805,-7.19004,2.16922,-4.71196,-4.70009,-0.15766,-1.20379,-110,-92,-293
3654,25.83163,101514.20312,-1.14090,-7.80777,2.19796,-2.37034,-4.98559,-0.22584,-1.15691,-133,-97,-284
3684,25.83268,101513.81250,-1.10729,-8.07354,1.93937,-1.72389,-4.69796,-0.76914,-1.25492,-145,-94,-291
3713,25.83506,101518.53906,-1.51401,-8.12382,2.16204,-1.47249,-5.23274,-1.02055,-1.94523,-164,-100,-290
3743,25.83466,101520.32031,-1.66728,-8.84929,2.21950,0.35196,-4.84071,-1.13348,-2.28826,-182,-108,-276
3773,25.83275,101516.54688,-1.34258,-9.23716,2.28415,0.52435,-4.48490,-1.01842,-2.33726,-191,-111,-268
3802,25.83268,101516.30469,-1.32174,-10.12784,2.18359,1.27855,-3.93521,-1.05891,-2.72290,-199,-116,-256
3832,25.83394,101516.34375,-1.32510,-10.31459,1.74544,1.49404,-3.49844,-0.87141,-2.66963,-202,-124,-249
3861,25.83427,101519.84375,-1.62627,-9.48856,0.15084,0.88349,-2.76551,-0.53691,-2.55458,-200,-128,-235
3891,25.83163,101514.43750,-1.16107,-10.30022,-0.76857,0.60336,-2.34365,0.21732,-3.08723,-194,-129,-245
3920,25.83447,101521.51562,-1.77013,-11.40638,-0.87631,1.07743,-1.53829,1.15052,-3.14263,-183,-127,-250
3950,25.83361,101518.29688,-1.49317,-11.76553,-0.25858,1.17081,-0.56887,2.05602,-3.21507,-166,-117,-269
3979,25.83407,101517.31250,-1.40846,-12.57719,0.38069,3.22510,0.49217,2.33726,-2.71864,-152,-106,-283
4009,25.83255,101518.60938,-1.52006,-11.91637,1.42221,1.12771,1.42111,1.55320,-1.99637,-129,-99,-293
4038,25.83097,101515.07031,-1.21553,-10.69528,1.34320,-3.69199,2.45231,1.73217,-0.93959,-110,-82,-297
4068,25.83130,101516.69531,-1.35536,-10.55881,0.40224,-5.04237,3.76476,4.19940,0.22584,-93,-71,-291
